RecipeDB Ingredient,Sueatable Ingredient,Similarity,CF
amarula cream liqueur,HAZELNUT CREAM,0.83444154,2.71
french green bean,GREEN BEAN,0.84503776,0.73
nonfat plain yogurt,YOGURT WHITE,0.85283047,2.1
lime peel,LIME,0.89076835,0.22
cheddar cheese soup,CHEESE SEMIHARD,0.8440807,8.65
plum sauce,PLUM,0.8251842,0.27
bisquick,WHITING,0.82356334,2.66
green peppercorn,GREEN BEAN,0.84084374,0.73
almond meal,ALMOND PASTE,0.89888686,2.98
mushroom stem,MUSHROOM,0.9281677,1.78
chicken thigh fillet,CHICKEN WITH BONE,0.88140726,3.25
chestnut,CHESTNUT,0.99999994,0.64
garlic granule,GARLIC,0.89872175,0.67
vegetable stock chicken,CHICKEN WITH BONE,0.8519542,3.25
no salt tomato,PESTO WITHOUT GARLIC,0.8559727,2.72
cream coconut,COCONUT MILK,0.854491,0.41
lager beer,BEER IN GLASS,0.8801614,1.03
pork belly,PORK NECK,0.9623613,4.03
suet,HAKE,0.8621279,10.12
chicken cutlet,CHICKEN WITH BONE,0.88992405,3.25
potato flake,POTATO,0.84966487,0.25
monterey jack cheddar cheese,CHEESE SEMIHARD,0.8489577,8.65
bulb garlic,GARLIC,0.84445995,0.67
mini chocolate chip,HAZELNUT CHOCOLATE,0.90337336,3.43
milk chocolate chip,MILK CHOCOLATE,0.960796,3.6
tapioca flour,SORGHUM FLOUR,0.83045554,1.33
pineapple tidbit,PINEAPPLE,0.910682,0.34
halibut fillet,KETCHUP,0.8264909,1.46
bread machine yeast,YEAST COMPRESS,0.8173013,0.82
yam,HAKE,0.8148348,10.12
bread dough,BREAD WHOLE,0.91753894,0.78
fire tomato,TOMATO,0.8654172,0.48
colby cheese,CHEESE,0.8709652,11.87
crab,SHRIMP,0.8563867,11.95
mung bean sprout,MUNG BEAN FLOUR,0.8511676,1.49
wasabi,HAKE,0.8512957,10.12
baby shrimp,SHRIMP,0.82741946,11.95
lobster,LOBSTER,1.0000002,19.3
coconut rum,COCONUT MILK,0.8539876,0.41
stilton cheese,CHEESE,0.88324165,11.87
lobster tail,LOBSTER,0.9311079,19.3
ouzo,QUINOA,0.8525777,0.96
ginger juice,GINGER,0.84028476,0.88
matzo meal,OAT MEAL,0.8950168,1.13
muenster cheese,CHEESE,0.85984194,11.87
cranberry sauce,CRANBERRY JUICE,0.93932784,2.88
chambord raspberry liquor,CRANBERRY JUICE,0.8753483,2.88
celery root,CELERY,0.92519176,0.32
parmigiano,PARMIGIANO REGGIANO,0.9292879,14.08
fusilli,PECORINO,0.85441417,18.85
radicchio,CUCUMBER,0.81986284,0.32
chicken tenderloin,CHICKEN WITH BONE,0.8896619,3.25
baby potato,POTATO,0.8356904,0.25
turbinado sugar,CANE SUGAR,0.86269224,0.67
wheat pastry flour,WHOLE WHEAT FLOUR,0.93235195,0.38
sugar syrup,BEET SUGAR,0.864167,0.89
trout,TROUT,0.99999976,3.65
lobster meat,LOBSTER,0.9114301,19.3
chocolate square,CHOCOLATE,0.9266585,6.6
coffee powder,COFFEE POWDER,1.0,0.33
corn cob,CORN CAN,0.93429947,1.36
pomegranate,POMEGRANATE,1.0,0.45
milk powder,MILK CHOCOLATE,0.84721214,3.6
crisco,CARROB,0.88625777,1.1
frying chicken,CHICKEN WITH BONE,0.8562872,3.25
beefsteak tomato,TOMATO CHOP,0.8549153,1.41
white bread flour,WHOLE WHEAT FLOUR,0.8146101,0.38
pork fillet,PORK HAM,0.9218811,7.93
boston lettuce,LETTUCE,0.81432796,0.4
tortellini,PECORINO,0.88769907,18.85
pineapple ring,PINEAPPLE,0.9251194,0.34
bulgar wheat,WHEAT,0.92716014,0.67
halloumi cheese,CHEESE,0.86990297,11.87
spanish olive,OLIVE OIL,0.8182148,3.84
linguine pasta,PASTA,0.90890074,1.24
nonfat yogurt,YOGURT FLAVOUR,0.8775797,2.81
butter margarine,BUTTER,0.8201766,9.9
red snapper,RED CHILLI,0.84307337,0.8
sweetcorn,RASPBERRY,0.8642689,0.63
vanilla pod,VANILLA,0.95219886,4.3
ghee butter,BUTTER,0.84791535,9.9
biscuit mix,MUNG BEAN FLOUR,0.8138456,1.49
cheese ravioli,CHEESE SEMIHARD,0.884186,8.65
emmenthaler cheese,CHEESE,0.8790399,11.87
bouillon,CAMEMBERT,0.8418107,7.55
chocolate pudding mix,CHOCOLATE CREAM COOKY,0.9196599,1.69
cake,CAKE,1.0000001,2.23
natural peanut butter,PEANUT BUTTER,0.8737091,1.15
beef base,BEEF WITH BONE,0.8920256,19.54
heirloom tomato,TOMATO PEEL,0.8952247,1.28
creme de cacao,CASHEW NUT,0.8195936,1.56
chicken part,CHICKEN WITH BONE,0.8232572,3.25
hing,EMMENTAL,0.8742213,8.2
cabbage leaf,CABBAGE LEAF,1.0,0.3
lime leaf,LIME,0.84545213,0.22
potato traditional,POTATO,0.8834988,0.25
custard powder,HAZELNUT PASTE,0.8175312,1.69
sugar substitute,CANE SUGAR,0.8549894,0.67
bibb lettuce,LETTUCE,0.9476741,0.4
lemon lime beverage,LEMON,0.8183168,0.22
roquefort cheese,CHEESE,0.8848234,11.87
ear corn,CORN CAN,0.8977859,1.36
ha avocado,AVOCADO,0.96658075,0.54
camembert cheese,CHEESE,0.9015409,11.87
beef shank,BEEF WITH BONE,0.91195583,19.54
romaine lettuce heart,LETTUCE,0.8826494,0.4
frangelico,CAMEMBERT,0.82754683,7.55
cracker,WHOLEGRAIN CRACKER,0.87191296,0.99
raspberry vinegar,RASPBERRY,0.8929078,0.63
vanilla pudding,HAZELNUT CREAM,0.8488612,2.71
focaccia bread,BREAD WHOLE,0.836606,0.78
beef eye,BEEF WITH BONE,0.89946234,19.54
pimento pepper,PEPPER,0.875786,0.58
marmalade,MARGARINE,0.83415747,1.43
kumara,HAKE,0.81551254,10.12
bulk pork sausage,PORK SAUSAGE,0.94925475,17.94
beef stock cube,BEEF WITH BONE,0.8281396,19.54
head broccoli,BROCCOLI,0.9492992,0.67
straw mushroom,MUSHROOM,0.8554381,1.78
mushroom cap,MUSHROOM,0.91342044,1.78
szechwan pepper,PEPPER,0.85641104,0.58
beef liver,BEEF WITH BONE,0.9011812,19.54
no salt tomato sauce,PESTO WITHOUT GARLIC,0.8327554,2.72
potato flour,POTATO,0.8124207,0.25
crawfish tail,MAKEREL FISH STICK,0.86514086,1.02
chocolate ice cream,CHOCOLATE CREAM COOKY,0.92503405,1.69
oriental sesame oil,SESAME SEED,0.8682784,0.88
kielbasa sausage,PORK SAUSAGE,0.83409476,17.94
turkey sausage,PORK SAUSAGE,0.85951567,17.94
corn husk,CORN CAN,0.9314668,1.36
salt cod fish,COD FISH STICK,0.9240441,2.14
grapefruit,GRAPE,0.857602,0.39
head romaine lettuce,LETTUCE,0.90597916,0.4
muscovado sugar,CANE SUGAR,0.86620873,0.67
pesto,PESTO,1.0000001,2.71
espresso coffee,COFFEE POWDER,0.8775652,0.33
raspberry preserve,CRANBERRY,0.8871336,0.9
pea pod,PEA,0.839919,0.58
center pork chop,PORK SAUSAGE,0.88637835,17.94
pineapple chunk juice,PINEAPPLE JUICE,0.9326509,2.78
masa harina flour,MILLET FLOUR,0.8842764,1.37
custard,KETCHUP,0.83225226,1.46
potato chip,POTATO,0.836318,0.25
wheat,WHEAT,0.99999976,0.67
almond essence,ALMOND PASTE,0.94575703,2.98
sazon goya,QUINOA,0.8375654,0.96
ricotta,RICOTTA,1.0,3.4
bulgur wheat,DURUM WHEAT,0.93555725,0.48
turkey bacon,BACON,0.8692145,4.03
wheat pasta,WHOLE WHEAT FLOUR,0.8414875,0.38
anise,HAKE,0.86332864,10.12
almond flour,ALMOND PASTE,0.9362573,2.98
cane sugar,CANE SUGAR,1.0000002,0.67
chocolate baking square,CHOCOLATE CREAM COOKY,0.8771622,1.69
apple pie filling,APPLE JUICE,0.83802795,2.84
corn niblets,CORN CAN,0.89490604,1.36
banana leaf,BANANA,0.92225206,0.38
curd,OAT,0.8282571,0.7
neufchatel cheese,CHEESE,0.8316383,11.87
beef cube,BEEF WITH BONE,0.87501,19.54
mutton,OAT,0.83337224,0.7
yellow lentil,LENTIL,0.8143506,1.03
catfish fillet,CATFISH,0.92000043,8.93
yellow potato,POTATO,0.8150737,0.25
pork shoulder roast,PORK SAUSAGE,0.9070132,17.94
green plantain,GREEN BEAN,0.9082305,0.73
cod fillet,COD FISH STICK,0.86237913,2.14
red radish,RED CHILLI,0.8838599,0.8
honeydew melon,WATERMELON,0.81799555,0.52
tagliatelle pasta noodle,PASTA,0.82159764,1.24
gnocchi,STRACCHINO,0.9007031,4.92
pork bean,PORK HAM,0.9021554,7.93
orange extract,ORANGE,0.88093126,0.35
sandwich bun,BACON,0.8326254,4.03
grain bread,BREAD WHOLE,0.8337892,0.78
gluten flour,SORGHUM FLOUR,0.8983321,1.33
apricot nectar,APRICOT,0.87237895,0.36
tuna olive oil,TUNA,0.8203026,4.68
ham steak,PORK HAM,0.8724075,7.93
oat bran,OAT,0.8191803,0.7
corn muffin mix,CORNFLAKES CEREAL,0.8865656,2.64
bocconcini,PECORINO,0.858147,18.85
graham cracker crust,WHOLEGRAIN CRACKER,0.8447412,0.99
fillet,QUORN,0.8556364,2.5
grape juice,GRAPE,0.87122965,0.39
portabella mushroom cap,MUSHROOM,0.82773924,1.78
tempeh,TEMPEH,0.9999999,1.1
wakame,HAKE,0.87322354,10.12
buckwheat flour,BUCKWHEAT FLOUR,1.0000002,1.96
aniseed,HAKE,0.86211437,10.12
chicken base,CHICKEN WITH BONE,0.8204931,3.25
ro tel tomato,TOMATO,0.9175569,0.48
vanilla wafer,VANILLA,0.88660324,4.3
craisins,CAMEMBERT,0.8771988,7.55
cracker crumb,WHOLEGRAIN CRACKER,0.902625,0.99
swede,SWEDE,0.99999964,0.29
vital wheat gluten,DURUM WHEAT,0.8294035,0.48
butter lettuce,SOY YOGURT,0.8120152,1.36
nicoise olive,OLIVE OIL,0.89857864,3.84
brioche bread,BREAD WHOLE,0.86049026,0.78
wheat bran,WHEAT,0.9196992,0.67
rib beef,BEEF WITH BONE,0.9055419,19.54
soybean,SOYBEAN,1.0000001,0.6
sausage meat,PORK SAUSAGE,0.93914855,17.94
pernod,CAMEMBERT,0.8935758,7.55
prosciutto ham,BACON,0.8133706,4.03
chicken soup base,CHICKEN WITH BONE,0.85761464,3.25
pepperjack cheese,CHEESE SEMIHARD,0.83979577,8.65
pickle juice,FLAVOR CRACKER,0.83660614,1.01
orecchiette,PECORINO,0.8694669,18.85
rib eye steak,BEEF WITH BONE,0.8486572,19.54
stevia,CLEMENTINE,0.84845185,0.42
peach schnapps,PEACH,0.8773707,0.43
tomato basil pasta sauce,TOMATO CHOP,0.8131067,1.41
lamb loin chop,LAMB WITH BONE,0.84103,18.01
vegetable oil peanut,PEANUT OIL,0.82415307,2.9
haddock fillet,HADDOCK,0.85619307,3.25
consomme,CAMEMBERT,0.86199677,7.55
fontina,CAMEMBERT,0.8505274,7.55
chicken breast tender,CHICKEN WITH BONE,0.85238063,3.25
chocolate curl,CHOCOLATE,0.94123334,6.6
penne rigate,PLAICE,0.850524,6.13
apricot half,APRICOT,0.94436294,0.36
panko bread crumb,BREAD MULTICEREAL,0.8663969,0.7
head lettuce,LETTUCE,0.92858434,0.4
dark chocolate chip,DARK CHOCOLATE,0.9073217,2.67
berry cranberry sauce,CRANBERRY JUICE,0.93448776,2.88
ritz cracker,WHOLEGRAIN CRACKER,0.8600246,0.99
tangerine,TANGERIN,0.8621501,0.38
mung bean,MUNG BEAN FLOUR,0.88508964,1.49
ajwain,HAKE,0.8560462,10.12
red cherry,WINE RED,0.8826815,1.02
beef bouillon powder,BEEF WITH BONE,0.817514,19.54
broccoli rabe,BROCCOLI,0.9318396,0.67
green mango,GREEN BEAN,0.81017506,0.73
sole fillet,SOLE,0.8794819,5.4
baking cocoa,COCOA CAKE,0.897403,1.97
almond butter,ALMOND MILK,0.9301163,0.42
japanese soy sauce,SOY CREAM,0.8296605,1.62
chicken fillet,CHICKEN WITH BONE,0.89612836,3.25
portobello mushroom,MUSHROOM,0.84711486,1.78
slab bacon,BACON,0.9120922,4.03
farina,CAMEMBERT,0.8541467,7.55
chicken leg quarter,CHICKEN WITH BONE,0.88804734,3.25
sugar cube,BEET SUGAR,0.83833015,0.89
cheesecloth,CHEESE,0.8887203,11.87
herring fillet,HERRING,0.9045702,2.21
havarti cheese,CHEESE,0.8540498,11.87
eggnog,EGGPLANT,0.8372581,0.45
yeast cake,CAKE,0.87434787,2.23
palm oil,PALM OIL,1.0000001,2.32
cherry pepper,CHERRY,0.8182252,0.49
jarlsberg cheese,CHEESE,0.84572273,11.87
vegetable protein,VEGETABLE,0.89162093,0.69
spiral pasta,PASTA,0.8805321,1.24
mozzarella ball,MOZZARELLA,0.8631218,8.48
garlic oil,GARLIC,0.91247225,0.67
san marzano tomato,TOMATO ARRABBIATA,0.9034816,1.26
bean thread noodle,BEAN FLOUR,0.85526896,1.32
lamb meat,LAMB WITH BONE,0.8748337,18.01
nutella,ALMOND,0.8369393,1.9
mustard green,GREEN BEAN,0.8386601,0.73
german chocolate cake mix,CHOCOLATE CREAM COOKY,0.84037745,1.69
trout fillet,TROUT,0.93125176,3.65
enoki mushroom,MUSHROOM,0.8885596,1.78
quince,QUORN,0.8944484,2.5
sponge cake,CAKE,0.8617569,2.23
onion seed,ONION,0.87235695,0.24
pretzel,CUCUMBER,0.82596487,0.32
marshmallow creme,CASHEW NUT,0.8178896,1.56
pastry flour,SORGHUM FLOUR,0.83528215,1.33
table cream,CREAM,0.8236286,5.34
strawberry preserve,STRAWBERRY,0.893859,0.68
seitan,QUORN,0.859551,2.5
apple juice concentrate,APPLE JUICE,0.97626805,2.84
lamb fillet,LAMB WITH BONE,0.8762768,18.01
red pepper paste,RED CHILLI,0.8366523,0.8
haddock,HADDOCK,1.0,3.25
sorrel,GHERKIN,0.8320756,0.23
wheat couscous,WHOLE WHEAT FLOUR,0.8697946,0.38
sardine,SARDINE,1.0000001,0.9
pink grapefruit,STRAWBERRY JUICE,0.81057215,2.68
rice cereal,CORNFLAKES CEREAL,0.8444752,2.64
chili without bean,PESTO WITHOUT GARLIC,0.86020285,2.72
red beet,RED CHILLI,0.82673454,0.8
white corn tortilla,CORNFLAKES CEREAL,0.8392261,2.64
kasseri cheese,CHEESE SEMIHARD,0.88415754,8.65
galliano,STRACCHINO,0.8192508,4.92
edam cheese,CHEESE,0.9052633,11.87
green leaf lettuce,GREEN BEAN,0.8317602,0.73
cream sherry,CREAM,0.8385999,5.34
bun,PEA,0.8202663,0.58
wheat flour tortilla,WHOLE WHEAT FLOUR,0.9157655,0.38
crepe,PLAICE,0.8488612,6.13
garlic chive,GARLIC,0.8909105,0.67
bread cube,BREAD MULTICEREAL,0.8477676,0.7
granola cereal,CORNFLAKES CEREAL,0.8461806,2.64
bulk sausage,PORK SAUSAGE,0.8132588,17.94
wheat penne,WHEAT,0.9375328,0.67
linguica sausage,PORK SAUSAGE,0.8102502,17.94
clove garlic,GARLIC,0.90830874,0.67
pork cutlet,PORK NECK,0.9241958,4.03
wheat bread crumb,WHOLE WHEAT FLOUR,0.886227,0.38
fajita seasoning,CELERY,0.81120604,0.32
chayotes,MILLET,0.8121522,0.86
almond flavoring,ALMOND PASTE,0.90226805,2.98
garlic crouton,GARLIC,0.8910068,0.67
drambuie,GHERKIN,0.83225477,0.23
pumpernickel bread,BREAD MULTICEREAL,0.8256307,0.7
white wheat flour,WHOLE WHEAT FLOUR,0.8751204,0.38
asadero cheese,CHEESE,0.88928044,11.87
mostaccioli pasta,PASTA,0.8478152,1.24
chanterelle mushroom,MUSHROOM,0.828521,1.78
chocolate shaving,CHOCOLATE CREAM COOKY,0.89637625,1.69
pickling cucumber,CUCUMBER,0.8925457,0.32
glutinous rice flour,MUNG BEAN FLOUR,0.8405908,1.49
porridge oat,OAT MEAL,0.8761206,1.13
naan bread,BREAD WHOLE,0.9133097,0.78
plum jam,PLUM,0.86963844,0.27
seashell pasta,EGG PASTA,0.826462,3.19
buttermilk biscuit,SOY YOGURT,0.81603163,1.36
sirloin beef,BEEF WITH BONE,0.8777833,19.54
oleo,EMMENTAL,0.8312832,8.2
beef sausage,PORK SAUSAGE,0.89775455,17.94
coffee bean,COFFEE FILTER,0.93872076,0.6
corn tortilla strip,CORN CAN,0.83966625,1.36
fryer chicken,CHICKEN WITH BONE,0.86883515,3.25
bucatini pasta,PASTA,0.8774151,1.24
turkey meat,TURKEY WITH BONE,0.90788245,2.08
lemon curd,LEMON,0.87780815,0.22
pre mozzarella cheese,CHEESE SEMIHARD,0.8553159,8.65
bran cereal,CORNFLAKES CEREAL,0.82997525,2.64
tomato jalapeno,TOMATO ARRABBIATA,0.8785595,1.26
breakfast sausage,BACON,0.840494,4.03
ear corn cob,CORN CAN,0.895648,1.36
yellow tomato,TOMATO PEEL,0.85704446,1.28
tart shell,STARCHY ROOT,0.8116014,0.29
gorgonzola cheese,CHEESE SEMIHARD,0.88912535,8.65
rice milk,RICE MILK,1.0000002,0.8
lamb stew meat,LAMB WITH BONE,0.81718254,18.01
cream cheese spread,CHEESE SEMIHARD,0.8147749,8.65
crawfish,CUTTLEFISH,0.86535496,5.05
sirloin tip steak,BEEF WITH BONE,0.8303351,19.54
pappardelle pasta,PASTA,0.87642604,1.24
cachaca,CARROB,0.8213238,1.1
roast pork,PORK SAUSAGE,0.88979495,17.94
vegetable bouillon,VEGETABLE,0.8371532,0.69
garlic flake,GARLIC,0.89365476,0.67
cake yeast,CAKE,0.9142288,2.23
mincemeat,OAT MEAL,0.83788,1.13
crust,PLAICE,0.8199565,6.13
carnation milk,ALMOND MILK,0.82576215,0.42
bean paste,BEAN FLOUR,0.89578605,1.32
flat bread,BREAD PLAIN,0.9309921,0.97
peach juice,PEACH,0.92074484,0.43
back bacon,BACON,0.9573294,4.03
beef marrow,BEEF WITH BONE,0.92071104,19.54
spelt flour,MILLET FLOUR,0.87179863,1.37
corn flake crumb,CORNFLAKES CEREAL,0.88956046,2.64
wheat lasagna noodle,SOY YOGURT,0.81878513,1.36
steak seasoning,BEEF WITH BONE,0.8175063,19.54
tomato garlic,TOMATO PUREE,0.89113426,1.17
orange wedge,ORANGE,0.8990242,0.35
mesclun,CARROB,0.8258557,1.1
leaf lettuce,LETTUCE,0.9299993,0.4
pork neck,PORK NECK,0.9999999,4.03
vegetable carrot,VEGETABLE,0.82635695,0.69
bean sauce,BEAN FLOUR,0.8667948,1.32
hamburger meat,BEEF WITH BONE,0.83255684,19.54
digestive biscuit,KETCHUP,0.81064326,1.46
plain white flour,BREAD PLAIN,0.8426014,0.97
mango juice,MANGO JUICE,1.0,2.96
peach preserve,PEACH,0.9286146,0.43
chocolate morsel,CHOCOLATE,0.94208753,6.6
apricot brandy,APRICOT,0.8394673,0.36
bosc pear,PEAR,0.93118954,0.29
chicken stock beef,CHICKEN WITH BONE,0.8669695,3.25
oat flour,SORGHUM FLOUR,0.92655337,1.33
pork sausage link,PORK SAUSAGE,0.97243,17.94
cornbread,CORN CAN,0.857619,1.36
capellini,PECORINO,0.8606092,18.85
green tea,COFFEE GREEN,0.8632649,0.49
calamari,TANGERIN,0.8157327,0.38
cheddar monterey jack cheese,CHEESE SEMIHARD,0.8406222,8.65
caramel,CRANBERRY,0.8204879,0.9
coconut flour,COCONUT MILK,0.85912067,0.41
pork mince,PORK HAM,0.93956643,7.93
lamb cutlet,LAMB WITH BONE,0.85065114,18.01
treacle,BARNACLE,0.838415,4.32
buttery cracker,FLAVOR CRACKER,0.88114053,1.01
greek feta cheese,CHEESE SEMIHARD,0.825457,8.65
cannellini,STRACCHINO,0.89567906,4.92
angel food cake,CAKE,0.8379705,2.23
jalapeno jack cheese,CHEESE SEMIHARD,0.8440455,8.65
asian pear,PEAR,0.84198123,0.29
amaretti cooky,COOKY,0.8920187,1.5
sumaq,HAKE,0.81312305,10.12
agave syrup,YEAST COMPRESS,0.8103543,0.82
macaroni noodle,SOY YOGURT,0.814944,1.36
mango pulp,MANGO JUICE,0.9228681,2.96
egg wash,EGG,0.85793984,3.23
apple butter,APPLE JUICE,0.91129255,2.84
lardons,CAMEMBERT,0.8766172,7.55
orange section,ORANGE,0.9593115,0.35
leaf thyme,CAULIFLOWER,0.8166342,0.32
snap pea,PEA,0.8977128,0.58
melon,MELON,1.0,0.56
millet,MILLET,0.99999994,0.86
tripe,PLAICE,0.8231293,6.13
thai peanut sauce,PEANUT BUTTER,0.824395,1.15
cheese spread,CHEESE SEMIHARD,0.8934674,8.65
sun tomato paste,TOMATO PEEL,0.87173176,1.28
pork steak,PORK WITH BONE,0.9030764,3.5
english pea,PEA,0.82130605,0.58
soy flour,SOY MEAL,0.9134891,0.62
baby onion,ONION,0.8328065,0.24
red miso,RED CHILLI,0.86875397,0.8
passata,QUINOA,0.84143275,0.96
hunt tomato sauce,TOMATO PUREE,0.8357205,1.17
pomegranate syrup,POMEGRANATE,0.8997611,0.45
mozzarella,MOZZARELLA,1.0000002,8.48
tangerine juice,CRANBERRY JUICE,0.82266307,2.88
guava,GUAVA,0.99999976,0.28
asian sesame oil,SESAME SEED,0.8189266,0.88
white shoepeg corn,CORNFLAKES CEREAL,0.8154745,2.64
chocolate cake mix,CHOCOLATE CREAM COOKY,0.92101943,1.69
taco cheese,CHEESE SEMIHARD,0.8475441,8.65
citrus peel,PEAR JUICE,0.8263866,0.49
caramel ice cream topping,ICE CREAM,0.8969106,1.02
caramel topping,CRANBERRY JUICE,0.83030057,2.88
green coriander,GREEN BEAN,0.9002917,0.73
key lime,LIME,0.82968485,0.22
mango nectar,MANGO JUICE,0.90555704,2.96
kikkoman soy sauce,SOY CREAM,0.8873075,1.62
cassava,GUAVA,0.86816204,0.28
avocado oil,AVOCADO,0.89458275,0.54
dripping,WATER,0.85355335,0.49
green creme de menthe,COFFEE GREEN,0.8383582,0.49
capicola,TANGERIN,0.86068535,0.38
haricot bean,BEAN FLOUR,0.8455722,1.32
tostada,GRANA PADANO,0.8636543,14.27
clementine,CLEMENTINE,0.9999999,0.42
campbell tomato soup,TOMATO PUREE,0.88174224,1.17
cashew half,CASHEW NUT,0.88455665,1.56
stew beef chunk,BEEF WITH BONE,0.8731618,19.54
wheat breadcrumb,WHOLE WHEAT FLOUR,0.88898295,0.38
vanilla soymilk,SOY YOGURT,0.82679963,1.36
ditalini,STRACCHINO,0.8525857,4.92
beef chuck steak,BEEF WITH BONE,0.8847292,19.54
beef tongue,BEEF WITH BONE,0.90669084,19.54
spanish olive oil,OLIVE OIL,0.9047086,3.84
hazelnut liqueur,HAZELNUT PASTE,0.87592494,1.69
morel,HAKE,0.857124,10.12
chocolate bar,CHOCOLATE,0.9131547,6.6
portobello mushroom cap,MUSHROOM,0.81614983,1.78
lamb steak,LAMB WITH BONE,0.84925765,18.01
nuoc nam,QUINOA,0.8268385,0.96
loaf bread,BREAD WHOLE,0.8945437,0.78
fruit chutney,PEAR JUICE,0.84763557,0.49
tomato green chile,TOMATO PEEL,0.83975685,1.28
campari,STRACCHINO,0.87335277,4.92
cherry juice,CHERRY,0.82860994,0.49
bartlett pear,PEAR,0.9214695,0.29
octopus,OCTOPUS,1.0,5.8
coffee ice cream,ICE CREAM,0.85900366,1.02
range egg,EGG,0.86408997,3.23
celery heart,CELERY,0.924754,0.32
fennel leaf,FENNEL,0.8542408,0.48
red pepper powder,RED CHILLI,0.82255024,0.8
boursin cheese,CHEESE,0.8697115,11.87
pork baby back rib,PORK WITH BONE,0.86876756,3.5
rotisserie chicken,CHICKEN WITH BONE,0.85683316,3.25
beef rump roast,PORK SAUSAGE,0.8459182,17.94
sun tomato pesto,TOMATO PUREE,0.88710946,1.17
cornbread mix,CORNFLAKES CEREAL,0.85102165,2.64
guava nectar,GUAVA,0.824909,0.28
fleur de sel,PLAICE,0.8271358,6.13
egg bread,EGG PASTA,0.8803926,3.19
shoulder lamb chop,LAMB WITH BONE,0.8251208,18.01
fuji apple,APPLE,0.84724706,0.31
cheese food,CHEESE SEMIHARD,0.88949305,8.65
garlic butter,GARLIC,0.8737206,0.67
mackerel,MACKEREL,1.0000001,2.05
chocolate coffee bean,HAZELNUT CHOCOLATE,0.8368671,3.43
nutritional yeast flake,YEAST COMPRESS,0.82930136,0.82
barley flour,BARLEY,0.9052674,0.53
tomato basil,TOMATO PUREE,0.90602225,1.17
jiffy cornbread mix,CORNFLAKES CEREAL,0.86224884,2.64
chicken turkey,CHICKEN WITH BONE,0.87351394,3.25
apple jelly,APPLE JUICE,0.9157037,2.84
chayote,TEMPEH,0.8345174,1.1
italian pork sausage,PORK SAUSAGE,0.9047172,17.94
non milk,SOLE,0.8278591,5.4
cream milk,CREAM,0.88242435,5.34
fritos corn chip,CORNFLAKES CEREAL,0.8726178,2.64
beef dripping,BEEF WITH BONE,0.84139776,19.54
coffee crystal,COFFEE POWDER,0.93757844,0.33
oil olive,OLIVE OIL,0.9552162,3.84
turkey broth,TURKEY WITH BONE,0.8406862,2.08
fennel powder,FENNEL,0.8330542,0.48
masa corn flour,MAIZE FLOUR,0.91108024,1.31
rotelle pasta,PASTA,0.92005897,1.24
garlic olive oil,GARLIC,0.8201049,0.67
cream wheat,WHOLE WHEAT FLOUR,0.82669413,0.38
catfish,CATFISH,0.99999976,8.93
vegetable stock powder,VEGETABLE,0.8196589,0.69
beef hot dog,BEEF WITH BONE,0.8183779,19.54
gemelli pasta,PASTA,0.8639526,1.24
marshmallow cream,CRANBERRY JUICE,0.81162214,2.88
vanilla bean paste,HAZELNUT CREAM,0.8147528,2.71
vanilla flavoring,VANILLA,0.85914004,4.3
acinus di pepe pasta,PASTA,0.8814755,1.24
wheat berry,WHEAT,0.8673039,0.67
garlic head,GARLIC,0.9650036,0.67
lemon twist,LEMON,0.93420494,0.22
beef suet,BEEF WITH BONE,0.88566685,19.54
beef stock chicken,CHICKEN WITH BONE,0.848059,3.25
mizithra cheese,CHEESE SEMIHARD,0.85352325,8.65
cashew butter,CASHEW NUT,0.87125707,1.56
pancetta bacon,BACON,0.9331664,4.03
calorie margarine,MARGARINE,0.89533347,1.43
chocolate sprinkle,CHOCOLATE CREAM COOKY,0.9075315,1.69
cavatappi pasta,PASTA,0.8865564,1.24
sago,HAKE,0.8675432,10.12
pasilla pepper,PEPPER,0.86708146,0.58
tuna oil,TUNA,0.8931434,4.68
cooking oatmeal,OAT MEAL,0.84424365,1.13
green banana,GREEN BEAN,0.85985726,0.73
chicken quarter,CHICKEN WITH BONE,0.85253745,3.25
soy yogurt,SOY YOGURT,1.0000002,1.36
cranberry bean,CRANBERRY,0.8957298,0.9
rice bubble,RICE,0.92898655,2.54
red shallot,RED CHILLI,0.8582263,0.8
mango salsa,MANGO JUICE,0.8751494,2.96
bing cherry,CHERRY,0.81338465,0.49
apple pie spice,APPLE JUICE,0.8597877,2.84
anjou pear,PEAR,0.89550376,0.29
kirby cucumber,CUCUMBER,0.9346297,0.32
ditalini pasta,PASTA,0.8760035,1.24
adzuki bean,BEAN FLOUR,0.8690088,1.32
fine bread crumb,CRISPBREAD,0.83413243,1.36
goat meat,GOAT CHEESE,0.8402431,8.18
mochiko rice flour,SORGHUM FLOUR,0.85927266,1.33
tamale,RAISIN,0.81577575,0.66
raspberry liqueur,CRANBERRY JUICE,0.8975223,2.88
venison steak,BEEF WITH BONE,0.8535126,19.54
paneer,WHITING,0.8246228,2.66
chicken breast strip,CHICKEN WITH BONE,0.8285371,3.25
asparagus tip,ASPARAGUS,0.9694905,0.97
graham wafer crumb,GRAHAM FLOUR,0.86859006,0.47
piri,HAKE,0.8170926,10.12
fillet salmon,SALMON,0.92210335,3.8
bean curd,BEAN FLOUR,0.86092913,1.32
bottom beef roast,BEEF WITH BONE,0.81593907,19.54
